,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
217,440000,USA,2,285,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,80000,Other,2,53,793,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,180000,USA,1,0,890,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,12900000,USA,6,1183,2189,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,9325000,Other,2,796,2281,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,5000,Other,1,0,759,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,4500000,Other,1,0,2768,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,27000000,Other,3,426,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,2928257,Other,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,9300000,Other,3,1370,4807,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,389673,Other,1,0,1459,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
228,10000000,Other,2,546,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1158814,Other,2,275,1399,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,20000000,Other,2,1071,3650,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231,10000000,Other,1,0,3079,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
232,65100000,Other,4,1057,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,1500000,Other,2,852,3073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1000000,Other,1,0,2220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,3000000,Other,1,0,1630,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,200000000,Other,2,212,2116,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
237,30000000,Other,2,183,3925,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,876780000,Other,6,3068,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,10000000,Other,1,0,757,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
240,5100000,Other,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,6100000,USA,2,370,2920,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
242,368750,Other,1,0,2951,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
243,8000000,USA,1,0,2394,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,12800000,USA,3,844,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,15873,Other,1,0,1747,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
246,50000,USA,1,0,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,3987693,Other,2,1098,925,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,30000,Other,1,0,1093,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
249,250000,USA,1,0,1274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,7000000,USA,1,0,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,3000000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,17129760,USA,4,511,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1300000,Other,3,569,2403,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,100000,USA,1,0,1916,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
255,3050000,USA,3,122,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,2000000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
257,25250000,USA,5,1479,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
258,1000000,Other,2,212,942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,30500000,Other,3,1887,3346,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,12000000,USA,2,396,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
261,3134880,Other,1,0,1386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,6700000,USA,2,446,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
263,52588928,Other,2,560,2768,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
